month,posts,comments,total,hebrew_posts,hebrew_comments,post_zscore,comment_zscore
2019-09,30,144,174,0,0,-0.698,-0.82
2019-10,55,320,375,0,2,-0.164,-0.675
2019-11,34,326,360,0,3,-0.612,-0.67
2019-12,25,353,378,0,0,-0.805,-0.647
2020-01,70,961,1031,2,2,0.157,-0.144
2020-02,60,629,689,1,17,-0.057,-0.419
2020-03,36,383,419,3,7,-0.57,-0.622
2020-04,31,341,372,2,2,-0.677,-0.657
2020-05,31,387,418,1,11,-0.677,-0.619
2020-06,46,876,922,0,7,-0.356,-0.215
2020-07,53,739,792,0,4,-0.206,-0.328
2020-08,125,1420,1545,23,54,1.332,0.235
2020-09,70,722,792,1,11,0.157,-0.342
2020-10,70,790,860,0,7,0.157,-0.286
2020-11,46,413,459,2,3,-0.356,-0.598
2020-12,68,584,652,1,15,0.114,-0.456
2021-01,114,1227,1341,4,32,1.097,0.076
2021-02,84,658,742,0,9,0.456,-0.395
2021-03,86,676,762,1,9,0.499,-0.38
2021-04,65,634,699,1,13,0.05,-0.415
2021-05,133,1937,2070,1,19,1.503,0.663
2021-06,51,655,706,0,12,-0.249,-0.397
2021-07,116,1150,1266,0,14,1.14,0.012
2021-08,75,1471,1546,0,13,0.264,0.277
2021-09,66,936,1002,1,8,0.071,-0.165
2021-10,38,422,460,0,6,-0.527,-0.59
2021-11,36,492,528,1,16,-0.57,-0.532
2021-12,44,399,443,2,15,-0.399,-0.609
2022-01,62,618,680,1,10,-0.014,-0.428
2022-02,35,370,405,0,2,-0.591,-0.633
2022-03,20,220,240,0,1,-0.912,-0.757
2022-04,28,411,439,0,1,-0.741,-0.599
2022-05,27,456,483,0,14,-0.762,-0.562
2022-06,24,274,298,0,0,-0.826,-0.713
2022-07,17,322,339,1,3,-0.976,-0.673
2022-08,10,114,124,0,0,-1.125,-0.845
2022-09,20,256,276,0,2,-0.912,-0.727
2022-10,32,352,384,0,9,-0.655,-0.648
2022-11,18,163,181,0,0,-0.954,-0.804
2022-12,9,124,133,0,4,-1.147,-0.837
2023-01,8,153,161,0,0,-1.168,-0.813
2023-02,6,84,90,0,0,-1.211,-0.87
2023-03,24,400,424,0,7,-0.826,-0.608
2023-04,36,1223,1259,0,22,-0.57,0.072
2023-05,17,819,836,0,23,-0.976,-0.262
2023-06,13,295,308,0,1,-1.061,-0.695
2023-07,12,189,201,0,1,-1.083,-0.783
2023-08,24,723,747,0,2,-0.826,-0.341
2023-09,12,108,120,0,0,-1.083,-0.85
2023-10,129,2361,2490,2,15,1.418,1.014
2023-11,130,2975,3105,2,38,1.439,1.521
2023-12,84,2018,2102,0,13,0.456,0.73
2024-01,151,2762,2913,1,25,1.888,1.345
2024-02,122,2197,2319,0,30,1.268,0.878
2024-03,90,1225,1315,1,21,0.584,0.074
2024-04,95,2035,2130,0,67,0.691,0.744
2024-05,75,1513,1588,1,23,0.264,0.312
2024-06,134,3893,4027,2,41,1.525,2.281
2024-07,79,2080,2159,0,35,0.349,0.781
2024-08,125,2910,3035,3,41,1.332,1.468
2024-09,293,6634,6927,0,54,4.922,4.547
2024-10,197,6509,6706,0,90,2.871,4.444
2024-11,99,3032,3131,1,33,0.777,1.568
2024-12,103,2621,2724,3,45,0.862,1.229
2025-01,51,1494,1545,2,25,-0.249,0.296
2025-02,49,995,1044,0,6,-0.292,-0.116
2025-03,77,2172,2249,3,29,0.306,0.857
2025-04,58,978,1036,0,16,-0.1,-0.13
2025-05,61,1107,1168,0,18,-0.035,-0.024
2025-06,53,1169,1222,1,8,-0.206,0.028
2025-07,51,1178,1229,1,12,-0.249,0.035
2025-08,71,1283,1354,1,9,0.178,0.122
2025-09,53,749,802,1,1,-0.206,-0.32
2025-10,47,850,897,1,5,-0.335,-0.236
2025-11,45,736,781,0,57,-0.377,-0.33
2025-12,61,941,1002,0,17,-0.035,-0.161
2026-01,35,445,480,1,0,-0.591,-0.571
2026-02,29,470,499,1,1,-0.719,-0.55
2026-03,91,2658,2749,1,17,0.606,1.259
